Binomial,cytb,coi,nd2,nd3,rag1,bfib5,bfib7,gapdh,myo,odc
Agelaius_xanthomus,AF089012,NA,AF109948,NA,NA,NA,NA,NA,NA,NA
Agelastes_meleagrides,AM236884,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelasticus_cyanopus,AF290174,FJ027029,AF109931,NA,AY037854,NA,NA,NA,AY228283,NA
Agelasticus_thilius,AF089010,FJ027038,AF109933,NA,NA,NA,NA,NA,NA,NA
Agelasticus_xanthophthalmus,AF089013,NA,AF109932,NA,NA,NA,NA,NA,NA,NA
Aglaeactis_castelnaudii,NA,NA,AY830458,NA,NA,NA,AY830609 - Bfib intron 7,NA,NA,NA
Aglaeactis_cupripennis,U90102,NA,AY830459,NA,NA,NA,FJ903573 - BFIB intron 7,NA,NA,GU166938
Aglaeactis_pamela,NA,NA,GU167201,NA,NA,NA,GU167091 - Bfib intron 7,NA,NA,GU166939
Aglaiocercus_coelestis,NA,NA,AY830460,NA,NA,NA,AY830611 - Bfib intron 7,NA,NA,GU166940
Aglaiocercus_kingi,NA,NA,AY830461,NA,NA,NA,AY830612 - Bfib intron 7,NA,NA,GU166941
Agriornis_albicauda,NA,NA,NA,NA,NA,NA,NA,EU231738,EU231836,EU231939
Agriornis_micropterus,NA,FJ027041,NA,NA,FJ501594,NA,NA,NA,NA,NA
Agriornis_montanus,NA,NA,NA,AF132644,NA,NA,NA,NA,NA,NA
Agriornis_murinus,NA,FJ027046,NA,NA,NA,NA,NA,NA,NA,NA
Ailuroedus_crassirostris,U10371,NA,AY064750,NA,AY064259,NA,NA,NA,AY064739,NA
Ailuroedus_melanotis,X74257,NA,EU341440,NA,AY443260,NA,EU341408,EU341422,NA,EU341453
Aimophila_aestivalis,FJ547270,NA,FJ547311,NA,NA,NA,NA,NA,NA,NA
Aimophila_botterii,FJ547271,NA,FJ547312,AY489513,NA,NA,AY489412,NA,NA,NA
Aimophila_carpalis,FJ547268,NA,FJ547309,NA,NA,NA,NA,NA,NA,NA
Aimophila_cassinii,AF447362,DQ433291,FJ547310,NA,NA,NA,NA,NA,NA,NA
Aimophila_humeralis,FJ547265,NA,FJ547306,NA,NA,NA,NA,NA,NA,NA
Aimophila_mystacalis,FJ547266,NA,FJ547307,NA,NA,NA,NA,NA,NA,NA
Aimophila_notosticta,FJ547274,NA,FJ547315,NA,NA,NA,NA,NA,NA,NA
Aimophila_quinquestriata,FJ547275,NA,FJ547316,NA,NA,NA,NA,NA,NA,NA
Aimophila_rufescens,FJ547273,NA,FJ547314,NA,NA,NA,NA,NA,NA,NA
Aimophila_ruficauda,FJ547264,NA,FJ547304,NA,NA,NA,NA,NA,NA,NA
Aimophila_ruficeps,FJ547272,AY666227,FJ547313,NA,NA,NA,NA,NA,NA,NA
Aimophila_stolzmanni,FJ547276,NA,FJ547317,NA,NA,NA,NA,NA,NA,NA
Aimophila_strigiceps,FJ547277,NA,FJ547318,NA,NA,NA,NA,NA,NA,NA
Aimophila_sumichrasti,FJ547267,NA,FJ547308,NA,NA,NA,NA,NA,NA,NA
Aix_galericulata,U46484,GQ481296,EU585667,NA,NA,NA,NA,NA,NA,NA
Aix_sponsa,AF059053,AY666569,AF059114,NA,NA,NA,NA,NA,NA,NA
Alaemon_alaudipes,AY165161,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alauda_arvensis,AF074595,DQ432704,AY847059,NA,AY056978,EF626747,NA,FJ357913,AY228284,EF625336
Alauda_gulgula,NA,FJ661105,NA,NA,NA,NA,NA,NA,NA,NA
Alca_torda,U37288,EF380318,EF373220,NA,AY228788,NA,NA,NA,AY339074,NA
Alcedo_argentata,NA,NA,DQ640786,NA,NA,NA,NA,NA,DQ640815,NA
Alcedo_atthis,D38329,EF515759,DQ640772,AY998968,DQ111792,NA,NA,NA,AY165800,DQ881712
Alcedo_azurea,NA,NA,DQ111832,NA,DQ111793,NA,NA,NA,DQ640805,NA
Alcedo_coerulescens,NA,NA,DQ640782,NA,NA,NA,NA,NA,DQ640811,NA
Alcedo_cristata,NA,NA,DQ111834,EF585322,DQ111795,NA,NA,NA,DQ640809,NA
Alcedo_cyanopectus,NA,NA,DQ640789,AY998935,NA,NA,NA,NA,DQ640818,NA
Alcedo_euryzona,NA,NA,DQ640777,NA,NA,NA,NA,NA,DQ640804,NA
Alcedo_hercules,NA,NA,DQ640783,NA,NA,NA,NA,NA,DQ640812,NA
Alcedo_leucogaster,NA,NA,DQ111833,AY998965,DQ111794,EU739205,EU739361 extraction,NA,EU739914,NA
Alcedo_meninting,NA,NA,DQ640774,AY998967,NA,NA,NA,NA,DQ640801,NA
Alcedo_pusilla,NA,NA,DQ640778,NA,NA,NA,NA,NA,DQ640806,NA
Alcedo_quadribrachys,NA,NA,DQ111830,AY998966,DQ111791,NA,NA,NA,EF585364,NA
Alcedo_semitorquata,NA,NA,DQ640781,NA,NA,NA,NA,NA,DQ640810,NA
Alcedo_vintsioides,NA,NA,DQ640780,AY998963,NA,NA,NA,NA,DQ640808,NA
Alcedo_websteri,NA,NA,DQ640779,NA,NA,NA,NA,NA,DQ640807,NA
Alcippe_brunnea,AY128545,FJ754292,DQ861954,NA,NA,NA,NA,NA,NA,NA
Alcippe_brunneicauda,AY128546,NA,EF154807,FJ460838,NA,NA,NA,NA,NA,NA
Alcippe_castaneceps,AY128548,NA,DQ861946,NA,NA,NA,NA,NA,NA,NA
Alcippe_chrysotis,AY128549,NA,DQ861978,NA,FJ358109,NA,NA,FJ357874,NA,FJ358043
Alcippe_cinerea,AY128550,NA,DQ861963,NA,NA,NA,NA,NA,NA,NA
Alcippe_cinereiceps,AY128554,NA,DQ861977,NA,NA,NA,NA,NA,NA,NA
Alcippe_dubia,AY128555,FJ754291,DQ861961,NA,NA,NA,NA,NA,NA,NA
Alcippe_formosana,AY128552,NA,DQ861952,NA,NA,NA,NA,NA,NA,NA
Alcippe_grotei,AY128560,NA,DQ861957,NA,NA,NA,NA,NA,NA,NA
Alcippe_manipurensis,AY128553,NA,DQ861960,NA,NA,NA,NA,NA,NA,NA
Alcippe_morrisonia,AY128559,EU447062,EF154788,NA,EU447153,NA,NA,GU724425,DQ008535,GU724505
Alcippe_peracensis,AY128561,NA,EF154810,NA,AY319973,NA,NA,NA,NA,NA
Alcippe_poioicephala,AF376890,NA,DQ861966,NA,FJ358089,NA,NA,NA,FJ357925,FJ358023
Alcippe_ruficapilla,AY128564,NA,DQ861949,NA,NA,NA,NA,NA,NA,NA
Alcippe_rufogularis,AY128565,NA,DQ861955,NA,FJ358131,NA,NA,FJ357896,FJ357965,FJ358065
Alcippe_striaticollis,AY128566,NA,DQ861950,NA,NA,NA,NA,NA,NA,NA
Alcippe_vinipectus,AY128567,NA,DQ861951,NA,FJ358095,NA,NA,FJ357860,FJ357931,FJ358029
Aleadryas_rufinucha,FJ821110,NA,EF592289,NA,FJ821040,NA,NA,EU273375,FJ821098,EU273355
Alectoris_barbara,Z48771,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_chukar,FJ752426,FJ752426,FJ752426,FJ752426,NA,NA,DQ306960,NA,NA,NA
Alectoris_graeca,Z48772,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_magna,Z48776,NA,EU845744,NA,NA,NA,NA,NA,NA,NA
Alectoris_melanocephala,Z48773,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_philbyi,Z48774,FJ465299,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_rufa,Z48775,GU951807,DQ307002,NA,NA,NA,DQ306961,EF152483,NA,NA
Alectroenas_madagascariensis,AF483344,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectrurus_risora,NA,NA,NA,NA,FJ501595,NA,NA,EU231722,EU231820,EU231923
Alectrurus_tricolor,NA,NA,NA,NA,FJ501596,NA,NA,NA,NA,NA
Alectura_lathami,AY346091,AY346091,AY346091,AY346091,AF294687,EU739206,AY952647,AY952714,EU739915,DQ881792
Alethe_choloensis,AY206932,NA,NA,NA,NA,AY206888,NA,NA,NA,NA
Alethe_diademata,AY206967,NA,GU358776,NA,NA,AY206893,NA,GU358968,GU358705,GU358834
Alethe_fuelleborni,AY206930,NA,NA,NA,NA,AY206886,NA,NA,NA,NA
Alethe_poliocephala,AY206975,NA,GQ369696,NA,NA,AY206889,NA,GU359024,GU358759,HM633684
Alethe_poliophrys,AY206925,NA,NA,NA,NA,AY206891,NA,NA,NA,NA
Alipiopsitta_xanthops,AY669441,AY301465,AY669485,NA,DQ143345,NA,AY301512 - intron 7,NA,NA,NA
Alisterus_amboinensis,NA,EU621594,EU327597,NA,NA,NA,NA,NA,NA,NA
Alisterus_chloropterus,NA,NA,NA,NA,GQ505199,NA,NA,NA,NA,NA
Alisterus_scapularis,FJ499014,NA,NA,NA,GQ505198,EU739207,EU739363 extraction,NA,EU739916,NA
Alle_alle,U37287,EF380320,EF380339,NA,EF373166,NA,NA,NA,NA,NA
Alophoixus_bres,AF199384,NA,AY825994,DQ402289,NA,NA,AY827403 - beta-fibrinogen intron 7,NA,NA,NA
Alophoixus_ochraceus,NA,NA,DQ402229,DQ402290,NA,NA,DQ402322 (reversed),NA,NA,NA
Alophoixus_pallidus,DQ008507,NA,GQ369685,GU112692,NA,EF626743,GU112600 (reversed),GQ369626,EF625281,EF625332
Alophoixus_phaeocephalus,NA,NA,DQ402230,DQ402291,NA,NA,DQ402323 (reversed),NA,NA,NA
Alopochelidon_fucata,AY825943,FJ027051,AY826009,NA,NA,NA,AY827420 - beta-fibrinogen intron 7,NA,NA,NA
Alopochen_aegyptiaca,U46472,NA,EU585669,NA,NA,NA,NA,NA,NA,NA
Amadina_erythrocephala,EU423967,NA,AY323587,NA,NA,NA,NA,NA,NA,NA
Amadina_fasciata,AY495400,NA,AY323586,NA,NA,NA,AY494578 - fib intron 7,NA,NA,NA
Amalocichla_incerta,FJ808760,NA,NA,NA,FJ808764,NA,NA,NA,FJ808768,NA
Amalocichla_sclateriana,FJ808761,NA,NA,NA,FJ808765,NA,NA,NA,FJ808769,NA
Amandava_amandava,EU423958,NA,AY323588,NA,NA,NA,NA,NA,NA,NA
Amandava_formosa,NA,NA,AY323589,NA,NA,NA,NA,NA,NA,NA
Amandava_subflava,EU423929,NA,AF407028,NA,NA,NA,NA,NA,NA,NA
Amaurocichla_bocagei,NA,NA,NA,NA,NA,EU680624,NA,NA,EU680613,EU680700
Amaurornis_akool,NA,FJ661094,NA,NA,NA,NA,NA,NA,NA,NA
Amaurospiza_concolor,EF529995,NA,EF529881,NA,NA,NA,NA,NA,NA,NA
Amazilia_amabilis,NA,NA,EU042518,NA,NA,NA,EU042354 - Bfib gene extraction,NA,NA,GU166942
Amazilia_amazilia,NA,NA,GU167202,NA,NA,NA,GU167092 - Bfib intron 7,NA,NA,GU166943
Amazilia_beryllina,NA,NA,EU418761,NA,NA,NA,NA,NA,NA,NA
Amazilia_chionogaster,NA,FJ027761,AY830462,NA,NA,NA,AY830613 - Bfib intron 7,NA,NA,GU166944
Amazilia_decora,NA,NA,EU042519,NA,NA,NA,EU042355,NA,NA,NA
Amazilia_fimbriata,NA,NA,EU042520,NA,NA,NA,EU042356 extraction (reversed),NA,NA,GU166945
Amazilia_franciae,NA,NA,EU042521,NA,NA,NA,EU042357 extraction (reversed),NA,NA,GU166946
Amazilia_lactea,NA,NA,GU167203,NA,NA,NA,GU167093 - Bfib intron 7,NA,NA,GU166947
Amazilia_rosenbergi,NA,NA,GU167204,NA,NA,NA,GU167094 - Bfib intron 7,NA,NA,GU166948
Amazilia_rutila,EU442347,EU442323,EU042522,NA,NA,NA,EU042358 extraction (reversed),NA,NA,NA
Amazilia_saucerrottei,NA,NA,EU042523,NA,NA,NA,GU167095 - Bfib intron 7,NA,NA,GU166949
